drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2011,Alle,F,Akershus,1045,3.781,276359,6218927,463471.281
ADHD-midler,2011,Alle,F,Aust-Agder,400,7.241,55242,2406489.500,183026.172
ADHD-midler,2011,Alle,F,Buskerud,554,4.205,131738,3964919.500,266686.938
ADHD-midler,2011,Alle,F,Finnmark,171,4.766,35882,1132756.750,71970.617
ADHD-midler,2011,Alle,F,Hedmark,594,6.135,96820,3564289.250,275399.688
ADHD-midler,2011,Alle,F,Hordaland,898,3.707,242254,4919470.500,347066.969
ADHD-midler,2011,Alle,F,Møre og Romsdal,496,3.933,126128,2679622.250,183139.250
ADHD-midler,2011,Alle,F,Nordland,815,6.886,118353,4807802,324480.656
ADHD-midler,2011,Alle,F,Nord-Trøndelag,260,3.927,66201,1641623.875,127509.250
ADHD-midler,2011,Alle,F,Oppland,365,3.895,93700,2326067.250,172675.812
ADHD-midler,2011,Alle,F,Oslo,812,2.657,305616,4659074.500,356739.281
ADHD-midler,2011,Alle,F,Rogaland,1043,4.811,216792,6110696,428257.062
ADHD-midler,2011,Alle,F,Sogn og Fjordane,169,3.175,53232,962634.500,70061.617
ADHD-midler,2011,Alle,F,Sør-Trøndelag,646,4.398,146874,3476765.250,257753.703
ADHD-midler,2011,Alle,F,Telemark,489,5.724,85432,2937892.250,219116.516
ADHD-midler,2011,Alle,F,Troms,254,3.247,78238,1214269.500,92841.148
ADHD-midler,2011,Alle,F,Vest-Agder,417,4.804,86796,2556203.750,213284.984
ADHD-midler,2011,Alle,F,Vestfold,804,6.782,118554,4676208.500,343326.750
ADHD-midler,2011,Alle,F,Østfold,778,5.596,139018,4362758,362187.594
ADHD-midler,2011,Alle,M,Akershus,1847,6.725,274644,11833108,821594.812
ADHD-midler,2011,Alle,M,Aust-Agder,621,11.186,55514,3739490,251401.672
ADHD-midler,2011,Alle,M,Buskerud,1068,8.128,131392,7727791,518276.875
ADHD-midler,2011,Alle,M,Finnmark,332,8.802,37720,2372509.500,158542.406
ADHD-midler,2011,Alle,M,Hedmark,1107,11.603,95409,7758254,579884.125
ADHD-midler,2011,Alle,M,Hordaland,1629,6.645,245146,10473280,657300.062
ADHD-midler,2011,Alle,M,Møre og Romsdal,996,7.712,129146,5704643.500,376508.469
ADHD-midler,2011,Alle,M,Nordland,1339,11.207,119482,9480077,613350.875
ADHD-midler,2011,Alle,M,Nord-Trøndelag,531,7.971,66614,3562687,263785.188
ADHD-midler,2011,Alle,M,Oppland,731,7.867,92918,4483823,354328.750
ADHD-midler,2011,Alle,M,Oslo,1279,4.254,300648,7999989,544906.375
ADHD-midler,2011,Alle,M,Rogaland,1957,8.784,222786,11772066,806451.125
ADHD-midler,2011,Alle,M,Sogn og Fjordane,319,5.828,54732,2201496,137907.141
ADHD-midler,2011,Alle,M,Sør-Trøndelag,1201,8.052,149150,7538755.500,497829.531
ADHD-midler,2011,Alle,M,Telemark,805,9.564,84168,5178290.500,354375.375
ADHD-midler,2011,Alle,M,Troms,527,6.598,79877,3163950.750,219717.203
ADHD-midler,2011,Alle,M,Vest-Agder,715,8.259,86576,4717175.500,356001.375
ADHD-midler,2011,Alle,M,Vestfold,1225,10.517,116478,7555297.500,505688.594
ADHD-midler,2011,Alle,M,Østfold,1286,9.347,137590,8370489.500,621879.938
ADHD-midler,2011,0,F,Akershus,0,0,0,0,0
ADHD-midler,2011,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2011,0,F,Buskerud,0,0,0,0,0
ADHD-midler,2011,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2011,0,F,Hedmark,0,0,0,0,0
ADHD-midler,2011,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2011,0,F,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2011,0,F,Nordland,0,0,0,0,0
ADHD-midler,2011,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2011,0,F,Oppland,0,0,0,0,0
ADHD-midler,2011,0,F,Oslo,0,0,0,0,0
ADHD-midler,2011,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2011,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2011,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2011,0,F,Telemark,0,0,0,0,0
ADHD-midler,2011,0,F,Troms,0,0,0,0,0
ADHD-midler,2011,0,F,Vest-Agder,0,0,0,0,0
ADHD-midler,2011,0,F,Vestfold,0,0,0,0,0
ADHD-midler,2011,0,F,Østfold,0,0,0,0,0
ADHD-midler,2011,0,M,Akershus,,,16384,,
ADHD-midler,2011,0,M,Aust-Agder,0,0,0,0,0
ADHD-midler,2011,0,M,Buskerud,0,0,0,0,0
ADHD-midler,2011,0,M,Finnmark,0,0,0,0,0
ADHD-midler,2011,0,M,Hedmark,0,0,0,0,0
ADHD-midler,2011,0,M,Hordaland,,,14798,,
ADHD-midler,2011,0,M,Møre og Romsdal,,,6879,,
ADHD-midler,2011,0,M,Nordland,0,0,0,0,0
ADHD-midler,2011,0,M,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2011,0,M,Oppland,0,0,0,0,0
ADHD-midler,2011,0,M,Oslo,,,20437,,
ADHD-midler,2011,0,M,Rogaland,0,0,0,0,0
ADHD-midler,2011,0,M,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2011,0,M,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2011,0,M,Telemark,0,0,0,0,0
ADHD-midler,2011,0,M,Troms,0,0,0,0,0
ADHD-midler,2011,0,M,Vest-Agder,,,5262,,
ADHD-midler,2011,0,M,Vestfold,,,6242,,
ADHD-midler,2011,0,M,Østfold,,,7300,,
ADHD-midler,2011,5,F,Akershus,50,2.703,18500,194203,12238.233
ADHD-midler,2011,5,F,Aust-Agder,19,5.706,3330,95793.297,4700.358
ADHD-midler,2011,5,F,Buskerud,29,3.732,7771,134719.703,7747.425
ADHD-midler,2011,5,F,Finnmark,10,4.655,2148,40002.602,2350.417
ADHD-midler,2011,5,F,Hedmark,39,7.644,5102,164082.094,11747.575
ADHD-midler,2011,5,F,Hordaland,49,3.282,14928,236753.797,11264.017
ADHD-midler,2011,5,F,Møre og Romsdal,34,4.446,7648,111738.500,5485.938
ADHD-midler,2011,5,F,Nordland,37,5.664,6532,176751.594,10788.658
ADHD-midler,2011,5,F,Nord-Trøndelag,8,2.009,3983,33520.711,2130.350
ADHD-midler,2011,5,F,Oppland,22,4.334,5076,94228.703,7184
ADHD-midler,2011,5,F,Oslo,23,1.394,16502,107664.797,6482.092
ADHD-midler,2011,5,F,Rogaland,70,4.848,14438,268609.594,16907.367
ADHD-midler,2011,5,F,Sogn og Fjordane,8,2.407,3324,34132,2567.667
ADHD-midler,2011,5,F,Sør-Trøndelag,30,3.504,8562,137481.094,8851.883
ADHD-midler,2011,5,F,Telemark,14,3.021,4634,67682.102,5320.333
ADHD-midler,2011,5,F,Troms,8,1.797,4452,16535.801,1123.667
ADHD-midler,2011,5,F,Vest-Agder,10,1.834,5452,45138.188,3162.667
ADHD-midler,2011,5,F,Vestfold,28,4.225,6628,128448.797,7887.350
ADHD-midler,2011,5,F,Østfold,30,3.815,7864,153537,10355.525
ADHD-midler,2011,5,M,Akershus,153,7.871,19438,756839.625,45972.387
