drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2012,Alle,F,Akershus,1113,3.962,280904,6157111.500,458957.562
ADHD-midler,2012,Alle,F,Aust-Agder,440,7.873,55890,2268022.750,182760.516
ADHD-midler,2012,Alle,F,Buskerud,607,4.551,133384,3972924.750,274082.875
ADHD-midler,2012,Alle,F,Finnmark,199,5.513,36097,1157874.875,81289.773
ADHD-midler,2012,Alle,F,Hedmark,601,6.180,97244,3562492.750,285960.375
ADHD-midler,2012,Alle,F,Hordaland,989,4.033,245244,5699404.500,397832.156
ADHD-midler,2012,Alle,F,Møre og Romsdal,579,4.553,127156,2905104,205522.984
ADHD-midler,2012,Alle,F,Nordland,858,7.225,118748,4672052.500,339735.219
ADHD-midler,2012,Alle,F,Nord-Trøndelag,277,4.161,66576,1632721.875,125637.055
ADHD-midler,2012,Alle,F,Oppland,418,4.457,93788,2623608.750,196553.469
ADHD-midler,2012,Alle,F,Oslo,869,2.793,311096,4729980.500,356020.688
ADHD-midler,2012,Alle,F,Rogaland,1123,5.096,220385,6209239,462594.969
ADHD-midler,2012,Alle,F,Sogn og Fjordane,172,3.221,53405,965424.125,73433.250
ADHD-midler,2012,Alle,F,Sør-Trøndelag,745,5.011,148670,3552451.500,277044.125
ADHD-midler,2012,Alle,F,Telemark,506,5.901,85752,2774766.500,218872.156
ADHD-midler,2012,Alle,F,Troms,271,3.437,78852,1194437.375,91392.117
ADHD-midler,2012,Alle,F,Vest-Agder,438,4.998,87640,2626101.250,218732.656
ADHD-midler,2012,Alle,F,Vestfold,908,7.586,119697,4742163,361644.062
ADHD-midler,2012,Alle,F,Østfold,886,6.305,140525,5136738.500,412545.562
ADHD-midler,2012,Alle,M,Akershus,1844,6.577,280373,11214902,788041
ADHD-midler,2012,Alle,M,Aust-Agder,585,10.400,56252,3263583.250,237247.828
ADHD-midler,2012,Alle,M,Buskerud,1138,8.511,133714,7580615,525637.625
ADHD-midler,2012,Alle,M,Finnmark,373,9.800,38063,2342419.500,172221.125
ADHD-midler,2012,Alle,M,Hedmark,1143,11.906,95998,7890224,579202.250
ADHD-midler,2012,Alle,M,Hordaland,1747,7.013,249094,11200943,718324.500
ADHD-midler,2012,Alle,M,Møre og Romsdal,1081,8.262,130843,5645626,381665.594
ADHD-midler,2012,Alle,M,Nordland,1378,11.464,120202,8504056,593605
ADHD-midler,2012,Alle,M,Nord-Trøndelag,576,8.556,67324,3320790.250,251337.016
ADHD-midler,2012,Alle,M,Oppland,770,8.243,93412,4551412,377589.125
ADHD-midler,2012,Alle,M,Oslo,1306,4.247,307502,7703857.500,536032.500
ADHD-midler,2012,Alle,M,Rogaland,2033,8.947,227224,11806007,840285.688
ADHD-midler,2012,Alle,M,Sogn og Fjordane,332,6.029,55064,2057349.500,140266.859
ADHD-midler,2012,Alle,M,Sør-Trøndelag,1343,8.853,151696,7717610,538546.625
ADHD-midler,2012,Alle,M,Telemark,791,9.338,84707,4780385.500,345613.219
ADHD-midler,2012,Alle,M,Troms,522,6.476,80606,2778838,201267.938
ADHD-midler,2012,Alle,M,Vest-Agder,722,8.233,87694,4594043.500,351817.906
ADHD-midler,2012,Alle,M,Vestfold,1259,10.677,117912,7612458,541566.188
ADHD-midler,2012,Alle,M,Østfold,1359,9.729,139679,8188543,635050.125
ADHD-midler,2012,0,F,Akershus,0,0,0,0,0
ADHD-midler,2012,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2012,0,F,Buskerud,,,6854,,
ADHD-midler,2012,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2012,0,F,Hedmark,0,0,0,0,0
ADHD-midler,2012,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2012,0,F,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2012,0,F,Nordland,0,0,0,0,0
ADHD-midler,2012,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2012,0,F,Oppland,0,0,0,0,0
ADHD-midler,2012,0,F,Oslo,0,0,0,0,0
ADHD-midler,2012,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2012,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2012,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2012,0,F,Telemark,0,0,0,0,0
ADHD-midler,2012,0,F,Troms,0,0,0,0,0
ADHD-midler,2012,0,F,Vest-Agder,0,0,0,0,0
ADHD-midler,2012,0,F,Vestfold,0,0,0,0,0
ADHD-midler,2012,0,F,Østfold,0,0,0,0,0
ADHD-midler,2012,0,M,Akershus,,,16659,,
ADHD-midler,2012,0,M,Aust-Agder,,,3188,,
