drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2008,Alle,F,Akershus,828,3.143,263454,5443849.500,355060.281
ADHD-midler,2008,Alle,F,Aust-Agder,332,6.210,53458,2143486,131467.391
ADHD-midler,2008,Alle,F,Buskerud,461,3.620,127346,3715082.250,210276.297
ADHD-midler,2008,Alle,F,Finnmark,143,4.025,35532,1022274.875,54439.855
ADHD-midler,2008,Alle,F,Hedmark,376,3.924,95814,2668031.500,174477.812
ADHD-midler,2008,Alle,F,Hordaland,551,2.367,232805,3524494.500,212799.891
ADHD-midler,2008,Alle,F,Møre og Romsdal,420,3.408,123229,2278744.500,142673.438
ADHD-midler,2008,Alle,F,Nordland,578,4.925,117358,3685099.250,213487.781
ADHD-midler,2008,Alle,F,Nord-Trøndelag,203,3.127,64914,1529218.875,104256.992
ADHD-midler,2008,Alle,F,Oppland,235,2.538,92584,1487312,101042.766
ADHD-midler,2008,Alle,F,Oslo,718,2.495,287728,4556244.500,297827.875
ADHD-midler,2008,Alle,F,Rogaland,734,3.559,206218,4727227,291144.969
ADHD-midler,2008,Alle,F,Sogn og Fjordane,150,2.850,52631,877634.438,51324.062
ADHD-midler,2008,Alle,F,Sør-Trøndelag,401,2.821,142139,2104168,142750.578
ADHD-midler,2008,Alle,F,Telemark,334,3.952,84519,2226821.750,143077.266
ADHD-midler,2008,Alle,F,Troms,204,2.653,76896,1042749.875,65260.621
ADHD-midler,2008,Alle,F,Vest-Agder,321,3.823,83960,1890306.875,137744.969
ADHD-midler,2008,Alle,F,Vestfold,547,4.746,115243,4068749.250,265809.312
ADHD-midler,2008,Alle,F,Østfold,586,4.344,134888,3582590.250,256778.859
ADHD-midler,2008,Alle,M,Akershus,1663,6.405,259647,12254724,719877.188
ADHD-midler,2008,Alle,M,Aust-Agder,596,11.187,53275,3998602.250,239522.078
ADHD-midler,2008,Alle,M,Buskerud,1075,8.560,125578,9469159,519064.781
ADHD-midler,2008,Alle,M,Finnmark,283,7.666,36914,2062719,114889.695
ADHD-midler,2008,Alle,M,Hedmark,814,8.671,93878,6877636,449178.938
ADHD-midler,2008,Alle,M,Hordaland,1173,5.027,233361,9153092,504668.312
ADHD-midler,2008,Alle,M,Møre og Romsdal,927,7.447,124486,6354890.500,344234
ADHD-midler,2008,Alle,M,Nordland,1148,9.745,117810,8349776,481523.719
ADHD-midler,2008,Alle,M,Nord-Trøndelag,489,7.484,65343,4033470.250,255648.531
ADHD-midler,2008,Alle,M,Oppland,555,6.074,91368,4246568.500,282981.281
ADHD-midler,2008,Alle,M,Oslo,1166,4.161,280216,8253969.500,465231.406
ADHD-midler,2008,Alle,M,Rogaland,1593,7.571,210395,11933646,657794.750
ADHD-midler,2008,Alle,M,Sogn og Fjordane,336,6.255,53715,2613278.750,136788.062
ADHD-midler,2008,Alle,M,Sør-Trøndelag,860,6.025,142736,5876801.500,343602.219
ADHD-midler,2008,Alle,M,Telemark,694,8.400,82619,5659492,327955.094
ADHD-midler,2008,Alle,M,Troms,437,5.589,78196,2806548.500,165105.547
ADHD-midler,2008,Alle,M,Vest-Agder,692,8.324,83136,4617323,302987.812
ADHD-midler,2008,Alle,M,Vestfold,952,8.457,112566,7758373,430921.219
ADHD-midler,2008,Alle,M,Østfold,1049,7.940,132122,7448256.500,494332.125
ADHD-midler,2008,0,F,Akershus,,,15177,,
ADHD-midler,2008,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2008,0,F,Buskerud,0,0,0,0,0
