drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2010,Alle,F,Akershus,1039,3.820,271978,6340701.500,429125
ADHD-midler,2010,Alle,F,Aust-Agder,417,7.641,54572,2574854.500,172252
ADHD-midler,2010,Alle,F,Buskerud,545,4.188,130126,4043418.500,251790.484
ADHD-midler,2010,Alle,F,Finnmark,157,4.392,35744,938548.125,60094.520
ADHD-midler,2010,Alle,F,Hedmark,557,5.780,96374,3547165.500,243926.875
ADHD-midler,2010,Alle,F,Hordaland,820,3.426,239380,4841035,319557.438
ADHD-midler,2010,Alle,F,Møre og Romsdal,486,3.885,125085,2619871.250,170384.484
ADHD-midler,2010,Alle,F,Nordland,809,6.861,117912,5281230,317872.594
ADHD-midler,2010,Alle,F,Nord-Trøndelag,219,3.332,65735,1502888.500,109127.883
ADHD-midler,2010,Alle,F,Oppland,341,3.654,93334,2119568,146506.312
ADHD-midler,2010,Alle,F,Oslo,809,2.700,299644,4801626.500,329936.156
ADHD-midler,2010,Alle,F,Rogaland,968,4.538,213315,6089397.500,391870.875
ADHD-midler,2010,Alle,F,Sogn og Fjordane,167,3.150,53009,1044151,64288.105
ADHD-midler,2010,Alle,F,Sør-Trøndelag,556,3.828,145260,3222467.250,223147.734
ADHD-midler,2010,Alle,F,Telemark,466,5.474,85128,3169829.750,211925.812
ADHD-midler,2010,Alle,F,Troms,245,3.153,77706,1287603.375,83707.469
ADHD-midler,2010,Alle,F,Vest-Agder,376,4.378,85890,2489921,193107.062
ADHD-midler,2010,Alle,F,Vestfold,699,5.952,117434,4484826,311779.906
ADHD-midler,2010,Alle,F,Østfold,791,5.748,137622,4528319.500,346347.594
ADHD-midler,2010,Alle,M,Akershus,1837,6.827,269094,12174041,783768
ADHD-midler,2010,Alle,M,Aust-Agder,641,11.719,54698,4113391.250,255220.422
ADHD-midler,2010,Alle,M,Buskerud,1085,8.394,129258,8710234,524750.562
ADHD-midler,2010,Alle,M,Finnmark,309,8.261,37404,2203294.750,135579.844
ADHD-midler,2010,Alle,M,Hedmark,1018,10.740,94782,7808508,537345.438
ADHD-midler,2010,Alle,M,Hordaland,1483,6.146,241280,10587284,612503.750
ADHD-midler,2010,Alle,M,Møre og Romsdal,996,7.813,127486,6071496,362156.750
ADHD-midler,2010,Alle,M,Nordland,1367,11.504,118826,9811997,588145.250
ADHD-midler,2010,Alle,M,Nord-Trøndelag,529,8.005,66082,3826607.500,251006.891
ADHD-midler,2010,Alle,M,Oppland,691,7.486,92309,4595255,330535.500
ADHD-midler,2010,Alle,M,Oslo,1339,4.565,293333,8410441,535758.625
ADHD-midler,2010,Alle,M,Rogaland,1846,8.441,218693,12579249,779132
ADHD-midler,2010,Alle,M,Sogn og Fjordane,336,6.178,54386,2400647,140155.938
ADHD-midler,2010,Alle,M,Sør-Trøndelag,1074,7.305,147032,7220080,443025.031
ADHD-midler,2010,Alle,M,Telemark,793,9.487,83586,5791473,367181.875
ADHD-midler,2010,Alle,M,Troms,502,6.329,79314,3068569.750,188246.250
ADHD-midler,2010,Alle,M,Vest-Agder,721,8.436,85469,4772358,336265.906
ADHD-midler,2010,Alle,M,Vestfold,1122,9.750,115074,7898059,478484.094
ADHD-midler,2010,Alle,M,Østfold,1282,9.455,135591,8689834,605660.188
ADHD-midler,2010,0,F,Akershus,0,0,0,0,0
ADHD-midler,2010,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2010,0,F,Buskerud,0,0,0,0,0
ADHD-midler,2010,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2010,0,F,Hedmark,0,0,0,0,0
ADHD-midler,2010,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2010,0,F,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2010,0,F,Nordland,0,0,0,0,0
ADHD-midler,2010,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0,F,Oppland,0,0,0,0,0
ADHD-midler,2010,0,F,Oslo,0,0,0,0,0
ADHD-midler,2010,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2010,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2010,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0,F,Telemark,0,0,0,0,0
ADHD-midler,2010,0,F,Troms,0,0,0,0,0
