drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2007,Alle,F,Akershus,711,2.743,259176,4682497,296893.219
ADHD-midler,2007,Alle,F,Aust-Agder,280,5.292,52908,1665002.625,104297.828
ADHD-midler,2007,Alle,F,Buskerud,402,3.192,125931,3171371.750,161884.625
ADHD-midler,2007,Alle,F,Finnmark,125,3.508,35630,829097.438,41528.648
ADHD-midler,2007,Alle,F,Hedmark,309,3.233,95584,2013582,123475.562
ADHD-midler,2007,Alle,F,Hordaland,388,1.686,230115,2375420.500,143210.891
ADHD-midler,2007,Alle,F,Møre og Romsdal,366,2.984,122648,1946324.625,122845.891
ADHD-midler,2007,Alle,F,Nordland,452,3.848,117457,2689135.250,151832.672
ADHD-midler,2007,Alle,F,Nord-Trøndelag,188,2.908,64652,1294678.375,87975.242
ADHD-midler,2007,Alle,F,Oppland,173,1.873,92370,1165509.375,77098.289
ADHD-midler,2007,Alle,F,Oslo,641,2.271,282262,3794234.750,245456.156
ADHD-midler,2007,Alle,F,Rogaland,587,2.891,203073,3856916,227414.281
ADHD-midler,2007,Alle,F,Sogn og Fjordane,138,2.622,52622,920011.250,53259.188
ADHD-midler,2007,Alle,F,Sør-Trøndelag,332,2.362,140560,1789859.625,115901.305
ADHD-midler,2007,Alle,F,Telemark,300,3.559,84286,1961626.250,119910.398
ADHD-midler,2007,Alle,F,Troms,163,2.129,76564,841274.812,51426.875
ADHD-midler,2007,Alle,F,Vest-Agder,266,3.208,82922,1644447.375,112334.188
ADHD-midler,2007,Alle,F,Vestfold,455,3.987,114124,3375461,201963.125
ADHD-midler,2007,Alle,F,Østfold,511,3.826,133576,3016047.750,214863.156
ADHD-midler,2007,Alle,M,Akershus,1529,6.003,254696,11063448,627788.625
ADHD-midler,2007,Alle,M,Aust-Agder,586,11.151,52550,3649620.750,208719.031
ADHD-midler,2007,Alle,M,Buskerud,1054,8.534,123500,9157744,469139.219
ADHD-midler,2007,Alle,M,Finnmark,290,7.860,36896,2164480.750,115433.141
ADHD-midler,2007,Alle,M,Hedmark,733,7.849,93388,6334934.500,401062.188
ADHD-midler,2007,Alle,M,Hordaland,981,4.273,229576,7100324,371321.125
ADHD-midler,2007,Alle,M,Møre og Romsdal,839,6.793,123508,5840359,298790.125
ADHD-midler,2007,Alle,M,Nordland,975,8.280,117749,7085553,399347.469
ADHD-midler,2007,Alle,M,Nord-Trøndelag,444,6.850,64822,3367173.500,210333.625
ADHD-midler,2007,Alle,M,Oppland,495,5.441,90968,3551725.500,239045.141
ADHD-midler,2007,Alle,M,Oslo,1096,4.024,272336,7280376.500,409329.719
ADHD-midler,2007,Alle,M,Rogaland,1436,6.986,205568,11061226,585472.875
ADHD-midler,2007,Alle,M,Sogn og Fjordane,336,6.268,53608,2558096.250,134476.734
ADHD-midler,2007,Alle,M,Sør-Trøndelag,775,5.522,140351,5397487,308559.281
ADHD-midler,2007,Alle,M,Telemark,682,8.299,82177,5365922,298872.969
ADHD-midler,2007,Alle,M,Troms,390,5.012,77815,2715995.500,194218.719
ADHD-midler,2007,Alle,M,Vest-Agder,681,8.314,81906,4600299,297200.406
ADHD-midler,2007,Alle,M,Vestfold,863,7.775,110991,6977662.500,375249.688
ADHD-midler,2007,Alle,M,Østfold,939,7.200,130418,6654521.500,451600.156
ADHD-midler,2007,0,F,Akershus,,,15117,,
ADHD-midler,2007,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2007,0,F,Buskerud,0,0,0,0,0
ADHD-midler,2007,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2007,0,F,Hedmark,0,0,0,0,0
ADHD-midler,2007,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2007,0,F,Møre og Romsdal,,,6466,,
ADHD-midler,2007,0,F,Nordland,0,0,0,0,0
ADHD-midler,2007,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2007,0,F,Oppland,0,0,0,0,0
ADHD-midler,2007,0,F,Oslo,,,17538,,
ADHD-midler,2007,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2007,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2007,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2007,0,F,Telemark,0,0,0,0,0
ADHD-midler,2007,0,F,Troms,0,0,0,0,0
ADHD-midler,2007,0,F,Vest-Agder,0,0,0,0,0
ADHD-midler,2007,0,F,Vestfold,0,0,0,0,0
ADHD-midler,2007,0,F,Østfold,0,0,0,0,0
ADHD-midler,2007,0,M,Akershus,,,15800,,
ADHD-midler,2007,0,M,Aust-Agder,,,2815,,
ADHD-midler,2007,0,M,Buskerud,,,6878,,
ADHD-midler,2007,0,M,Finnmark,0,0,0,0,0
ADHD-midler,2007,0,M,Hedmark,0,0,0,0,0
ADHD-midler,2007,0,M,Hordaland,,,13612,,
ADHD-midler,2007,0,M,Møre og Romsdal,,,6706,,
ADHD-midler,2007,0,M,Nordland,0,0,0,0,0
ADHD-midler,2007,0,M,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2007,0,M,Oppland,,,4408,,
ADHD-midler,2007,0,M,Oslo,0,0,0,0,0
ADHD-midler,2007,0,M,Rogaland,,,13072,,
ADHD-midler,2007,0,M,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2007,0,M,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2007,0,M,Telemark,0,0,0,0,0
ADHD-midler,2007,0,M,Troms,,,4300,,
ADHD-midler,2007,0,M,Vest-Agder,0,0,0,0,0
ADHD-midler,2007,0,M,Vestfold,,,6037,,
ADHD-midler,2007,0,M,Østfold,,,7018,,
ADHD-midler,2007,5,F,Akershus,45,2.560,17580,203392,10892.254
