drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2014,Alle,F,Akershus,1265,4.358,290286,8039338.500,506792
ADHD-midler,2014,Alle,F,Aust-Agder,463,8.140,56880,2482718.250,206349.766
ADHD-midler,2014,Alle,F,Buskerud,770,5.652,136230,4602851,333156.156
ADHD-midler,2014,Alle,F,Finnmark,250,6.824,36634,1587085.625,114147.711
ADHD-midler,2014,Alle,F,Hedmark,698,7.143,97712,4085051,308817.031
ADHD-midler,2014,Alle,F,Hordaland,1269,5.050,251266,7800556,495616.281
ADHD-midler,2014,Alle,F,Møre og Romsdal,713,5.526,129038,3687284,258564.250
ADHD-midler,2014,Alle,F,Nordland,931,7.797,119400,5529558,395755.969
ADHD-midler,2014,Alle,F,Nord-Trøndelag,338,5.023,67290,2051876.875,149742.594
ADHD-midler,2014,Alle,F,Oppland,525,5.582,94048,3233121.750,236932.281
ADHD-midler,2014,Alle,F,Oslo,1017,3.163,321482,6023741.500,391836.219
ADHD-midler,2014,Alle,F,Rogaland,1288,5.661,227526,7664787,541101.062
ADHD-midler,2014,Alle,F,Sogn og Fjordane,177,3.302,53596,1065923.625,61681.926
ADHD-midler,2014,Alle,F,Sør-Trøndelag,986,6.486,152019,5316403,379804.031
ADHD-midler,2014,Alle,F,Telemark,545,6.328,86128,2920780,235138.500
ADHD-midler,2014,Alle,F,Troms,302,3.765,80204,1403228,99375.289
ADHD-midler,2014,Alle,F,Vest-Agder,471,5.257,89598,2870332.500,216279.938
ADHD-midler,2014,Alle,F,Vestfold,1054,8.673,121531,6570023,452772.562
ADHD-midler,2014,Alle,F,Østfold,1045,7.296,143235,7604864,500870.375
ADHD-midler,2014,Alle,M,Akershus,2016,6.949,290094,13546445,850796.938
ADHD-midler,2014,Alle,M,Aust-Agder,566,9.863,57387,3176445,230957.266
ADHD-midler,2014,Alle,M,Buskerud,1246,9.079,137240,7993334,538131.250
ADHD-midler,2014,Alle,M,Finnmark,426,10.989,38766,3011564.250,208355.484
ADHD-midler,2014,Alle,M,Hedmark,1163,11.981,97068,7921001.500,547124.062
ADHD-midler,2014,Alle,M,Hordaland,2064,8.031,257005,14742191,839983.312
ADHD-midler,2014,Alle,M,Møre og Romsdal,1216,9.103,133578,6552230.500,442379.531
ADHD-midler,2014,Alle,M,Nordland,1428,11.714,121902,8922480,621861.062
ADHD-midler,2014,Alle,M,Nord-Trøndelag,603,8.846,68164,3508926.500,250374.453
ADHD-midler,2014,Alle,M,Oppland,837,8.881,94242,4992349,396784.469
ADHD-midler,2014,Alle,M,Oslo,1477,4.623,319510,9471200,596737
ADHD-midler,2014,Alle,M,Rogaland,2231,9.475,235450,13529700,930394.125
ADHD-midler,2014,Alle,M,Sogn og Fjordane,357,6.435,55482,2048646.500,144615.891
ADHD-midler,2014,Alle,M,Sør-Trøndelag,1525,9.772,156066,9361020,649516.688
ADHD-midler,2014,Alle,M,Telemark,782,9.140,85560,4980190,343340.625
ADHD-midler,2014,Alle,M,Troms,560,6.783,82558,2961208,211430.078
