drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2009,Alle,F,Akershus,945,3.529,267810,6103167,411436.156
ADHD-midler,2009,Alle,F,Aust-Agder,364,6.742,53990,2308442,145244.219
ADHD-midler,2009,Alle,F,Buskerud,515,4,128763,3774815.250,230600.281
ADHD-midler,2009,Alle,F,Finnmark,163,4.580,35592,1042248.688,55878.148
ADHD-midler,2009,Alle,F,Hedmark,474,4.930,96140,2925237.500,201349.172
ADHD-midler,2009,Alle,F,Hordaland,690,2.921,236230,4216056.500,272104.938
ADHD-midler,2009,Alle,F,Møre og Romsdal,444,3.577,124118,2284426.250,146067.188
ADHD-midler,2009,Alle,F,Nordland,722,6.138,117634,4460749.500,264907.969
ADHD-midler,2009,Alle,F,Nord-Trøndelag,216,3.304,65382,1592391.125,112861.242
ADHD-midler,2009,Alle,F,Oppland,301,3.237,92974,1901923,135553.625
ADHD-midler,2009,Alle,F,Oslo,775,2.636,293992,4765019.500,316259.031
ADHD-midler,2009,Alle,F,Rogaland,844,4.025,209702,5273092.500,340485
ADHD-midler,2009,Alle,F,Sogn og Fjordane,153,2.899,52776,940364.438,56611.336
ADHD-midler,2009,Alle,F,Sør-Trøndelag,463,3.222,143692,2552118,169884.359
ADHD-midler,2009,Alle,F,Telemark,420,4.950,84850,2704117.750,178163.109
ADHD-midler,2009,Alle,F,Troms,228,2.949,77320,1191646.625,76568.562
ADHD-midler,2009,Alle,F,Vest-Agder,342,4.026,84951,2095935.250,166973.531
ADHD-midler,2009,Alle,F,Vestfold,647,5.560,116362,4180067.250,277339.375
ADHD-midler,2009,Alle,F,Østfold,696,5.106,136313,4017552.500,290434.500
ADHD-midler,2009,Alle,M,Akershus,1769,6.691,264377,12159477,747500.438
ADHD-midler,2009,Alle,M,Aust-Agder,624,11.563,53967,4072683.250,242954.562
ADHD-midler,2009,Alle,M,Buskerud,1088,8.536,127459,8929708,508869.531
ADHD-midler,2009,Alle,M,Finnmark,311,8.386,37085,2012971.500,121472.766
ADHD-midler,2009,Alle,M,Hedmark,926,9.817,94322,7259648.500,484206.875
ADHD-midler,2009,Alle,M,Hordaland,1312,5.528,237329,9323945,529477.562
ADHD-midler,2009,Alle,M,Møre og Romsdal,959,7.615,125930,6023763,348237.875
ADHD-midler,2009,Alle,M,Nordland,1258,10.637,118268,9097133,544120.562
ADHD-midler,2009,Alle,M,Nord-Trøndelag,515,7.829,65777,4045950.500,262481.562
ADHD-midler,2009,Alle,M,Oppland,644,7.013,91827,4595143.500,319219.125
ADHD-midler,2009,Alle,M,Oslo,1284,4.469,287296,8356983.500,502661.812
ADHD-midler,2009,Alle,M,Rogaland,1734,8.078,214644,12155338,715432.375
ADHD-midler,2009,Alle,M,Sogn og Fjordane,342,6.330,54028,2432050.500,142124.750
ADHD-midler,2009,Alle,M,Sør-Trøndelag,931,6.422,144969,6313618.500,381066.562
ADHD-midler,2009,Alle,M,Telemark,749,9.015,83084,5510281,344404.844
ADHD-midler,2009,Alle,M,Troms,454,5.767,78720,2835739.500,169848.562
ADHD-midler,2009,Alle,M,Vest-Agder,698,8.271,84388,4490693,312575.781
ADHD-midler,2009,Alle,M,Vestfold,1043,9.160,113869,7617644,452614.094
ADHD-midler,2009,Alle,M,Østfold,1200,8.964,133866,7888439,535970.688
ADHD-midler,2009,0,F,Akershus,0,0,0,0,0
ADHD-midler,2009,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2009,0,F,Buskerud,0,0,0,0,0
ADHD-midler,2009,0,F,Finnmark,0,0,0,0,0
