drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2016,Alle,F,Akershus,1473,4.920,299369,10272953,616256.625
ADHD-midler,2016,Alle,F,Aust-Agder,544,9.423,57729,3364970.750,238222
ADHD-midler,2016,Alle,F,Buskerud,957,6.905,138590,6240293,411187.469
ADHD-midler,2016,Alle,F,Finnmark,286,7.761,36853,2891336.250,142316.578
ADHD-midler,2016,Alle,F,Hedmark,785,8.007,98039,5034942,340919.125
ADHD-midler,2016,Alle,F,Hordaland,1492,5.833,255804,9911288,595431.938
ADHD-midler,2016,Alle,F,Møre og Romsdal,825,6.328,130368,4913784,327594.469
ADHD-midler,2016,Alle,F,Nordland,1089,9.102,119644,7168541,478786.500
ADHD-midler,2016,Alle,F,Nord-Trøndelag,437,6.449,67762,3270188.500,198117.828
ADHD-midler,2016,Alle,F,Oppland,599,6.348,94357,5165433.500,290998.188
ADHD-midler,2016,Alle,F,Oslo,1254,3.777,332030,9339440,497824.625
ADHD-midler,2016,Alle,F,Rogaland,1641,7.089,231496,10823630,692073.250
ADHD-midler,2016,Alle,F,Sogn og Fjordane,218,4.050,53830,1304470,81535.805
ADHD-midler,2016,Alle,F,Sør-Trøndelag,1250,8.049,155306,7567476.500,489790.281
ADHD-midler,2016,Alle,F,Telemark,535,6.188,86462,3200340,233600.609
ADHD-midler,2016,Alle,F,Troms,294,3.629,81016,1612060.250,112014.711
ADHD-midler,2016,Alle,F,Vest-Agder,526,5.766,91229,3647941.750,258009.344
ADHD-midler,2016,Alle,F,Vestfold,1104,8.918,123799,8896211,517549.156
ADHD-midler,2016,Alle,F,Østfold,1216,8.356,145518,10030084,599754.250
ADHD-midler,2016,Alle,M,Akershus,2257,7.522,300060,16094906,993426.500
ADHD-midler,2016,Alle,M,Aust-Agder,630,10.771,58491,4271203.500,271577.750
ADHD-midler,2016,Alle,M,Buskerud,1382,9.865,140096,9363392,613361.250
ADHD-midler,2016,Alle,M,Finnmark,449,11.485,39093,3821246.500,227185.078
ADHD-midler,2016,Alle,M,Hedmark,1196,12.238,97728,9573270,569948.562
ADHD-midler,2016,Alle,M,Hordaland,2406,9.168,262441,18500720,985677.188
ADHD-midler,2016,Alle,M,Møre og Romsdal,1447,10.686,135406,8956365,552266.125
ADHD-midler,2016,Alle,M,Nordland,1583,12.895,122764,10980132,737542.375
ADHD-midler,2016,Alle,M,Nord-Trøndelag,695,10.066,69044,4590296,299691.406
ADHD-midler,2016,Alle,M,Oppland,922,9.720,94856,6895045.500,463738.062
ADHD-midler,2016,Alle,M,Oslo,1745,5.280,330480,13422302,736602.375
ADHD-midler,2016,Alle,M,Rogaland,2627,10.966,239566,17544200,1134648.625
ADHD-midler,2016,Alle,M,Sogn og Fjordane,393,7.009,56074,2684826,175893.547
ADHD-midler,2016,Alle,M,Sør-Trøndelag,1820,11.373,160029,12306097,778767.500
ADHD-midler,2016,Alle,M,Telemark,739,8.549,86446,5442354.500,345807.469
ADHD-midler,2016,Alle,M,Troms,609,7.254,83958,3709074.500,237373.500
ADHD-midler,2016,Alle,M,Vest-Agder,841,9.123,92180,6771869,450276.906
ADHD-midler,2016,Alle,M,Vestfold,1538,12.514,122899,11161395,683505.688
ADHD-midler,2016,Alle,M,Østfold,1748,11.988,145813,14429939,831515.062
ADHD-midler,2016,0,F,Akershus,0,0,0,0,0
ADHD-midler,2016,0,F,Aust-Agder,0,0,0,0,0
ADHD-midler,2016,0,F,Buskerud,,,6706,,
ADHD-midler,2016,0,F,Finnmark,0,0,0,0,0
ADHD-midler,2016,0,F,Hedmark,,,3956,,
ADHD-midler,2016,0,F,Hordaland,0,0,0,0,0
ADHD-midler,2016,0,F,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2016,0,F,Nordland,0,0,0,0,0
ADHD-midler,2016,0,F,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2016,0,F,Oppland,0,0,0,0,0
ADHD-midler,2016,0,F,Oslo,0,0,0,0,0
ADHD-midler,2016,0,F,Rogaland,0,0,0,0,0
ADHD-midler,2016,0,F,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2016,0,F,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2016,0,F,Telemark,0,0,0,0,0
ADHD-midler,2016,0,F,Troms,0,0,0,0,0
ADHD-midler,2016,0,F,Vest-Agder,0,0,0,0,0
ADHD-midler,2016,0,F,Vestfold,0,0,0,0,0
ADHD-midler,2016,0,F,Østfold,0,0,0,0,0
ADHD-midler,2016,0,M,Akershus,0,0,0,0,0
ADHD-midler,2016,0,M,Aust-Agder,0,0,0,0,0
ADHD-midler,2016,0,M,Buskerud,0,0,0,0,0
ADHD-midler,2016,0,M,Finnmark,0,0,0,0,0
ADHD-midler,2016,0,M,Hedmark,0,0,0,0,0
ADHD-midler,2016,0,M,Hordaland,0,0,0,0,0
ADHD-midler,2016,0,M,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2016,0,M,Nordland,0,0,0,0,0
ADHD-midler,2016,0,M,Nord-Trøndelag,0,0,0,0,0
