Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2008,Alle aldre,Kvinne,Akershus,828,3.142863649821221,263454,5443849.5,355060.28125
ADHD-midler,2008,Alle aldre,Kvinne,Aust-Agder,332,6.210482995996857,53458,2143486,131467.390625
ADHD-midler,2008,Alle aldre,Kvinne,Buskerud,461,3.620058737612489,127346,3715082.25,210276.296875
ADHD-midler,2008,Alle aldre,Kvinne,Finnmark,143,4.024541258583812,35532,1022274.875,54439.85546875
ADHD-midler,2008,Alle aldre,Kvinne,Hedmark,376,3.924269939674787,95814,2668031.5,174477.8125
ADHD-midler,2008,Alle aldre,Kvinne,Hordaland,551,2.366787654904319,232805,3524494.5,212799.890625
ADHD-midler,2008,Alle aldre,Kvinne,Møre og Romsdal,420,3.408288633357408,123229,2278744.5,142673.4375
ADHD-midler,2008,Alle aldre,Kvinne,Nordland,578,4.925100973090884,117358,3685099.25,213487.78125
ADHD-midler,2008,Alle aldre,Kvinne,Nord-Trøndelag,203,3.127214468373540,64914,1529218.875,104256.9921875
ADHD-midler,2008,Alle aldre,Kvinne,Oppland,235,2.538235548258878,92584,1487312,101042.765625
ADHD-midler,2008,Alle aldre,Kvinne,Oslo,718,2.495412333870878,287728,4556244.5,297827.875
ADHD-midler,2008,Alle aldre,Kvinne,Rogaland,734,3.559340115799785,206218,4727227,291144.96875
ADHD-midler,2008,Alle aldre,Kvinne,Sogn og Fjordane,150,2.850031350344854,52631,877634.4375,51324.0625
ADHD-midler,2008,Alle aldre,Kvinne,Sør-Trøndelag,401,2.821182082327862,142139,2104168,142750.578125
ADHD-midler,2008,Alle aldre,Kvinne,Telemark,334,3.951774157290077,84519,2226821.75,143077.265625
ADHD-midler,2008,Alle aldre,Kvinne,Troms,204,2.652933832709114,76896,1042749.875,65260.62109375
ADHD-midler,2008,Alle aldre,Kvinne,Vest-Agder,321,3.823249166269652,83960,1890306.875,137744.96875
ADHD-midler,2008,Alle aldre,Kvinne,Vestfold,547,4.746492194753694,115243,4068749.25,265809.3125
ADHD-midler,2008,Alle aldre,Kvinne,Østfold,586,4.344344938022656,134888,3582590.25,256778.859375
ADHD-midler,2008,Alle aldre,Mann,Akershus,1663,6.404849661270879,259647,12254724,719877.1875
ADHD-midler,2008,Alle aldre,Mann,Aust-Agder,596,11.187236039418114,53275,3998602.25,239522.078125
ADHD-midler,2008,Alle aldre,Mann,Buskerud,1075,8.560416633486757,125578,9469159,519064.78125
ADHD-midler,2008,Alle aldre,Mann,Finnmark,283,7.666468006718318,36914,2062719,114889.6953125
ADHD-midler,2008,Alle aldre,Mann,Hedmark,814,8.670828096039541,93878,6877636,449178.9375
ADHD-midler,2008,Alle aldre,Mann,Hordaland,1173,5.026546852301799,233361,9153092,504668.3125
ADHD-midler,2008,Alle aldre,Mann,Møre og Romsdal,927,7.446620503510435,124486,6354890.5,344234
ADHD-midler,2008,Alle aldre,Mann,Nordland,1148,9.744503862150921,117810,8349776,481523.71875
ADHD-midler,2008,Alle aldre,Mann,Nord-Trøndelag,489,7.483586612184932,65343,4033470.25,255648.53125
ADHD-midler,2008,Alle aldre,Mann,Oppland,555,6.074336748095613,91368,4246568.5,282981.28125
ADHD-midler,2008,Alle aldre,Mann,Oslo,1166,4.161075741570788,280216,8253969.5,465231.40625
ADHD-midler,2008,Alle aldre,Mann,Rogaland,1593,7.571472706100430,210395,11933646,657794.75
ADHD-midler,2008,Alle aldre,Mann,Sogn og Fjordane,336,6.255235967606814,53715,2613278.75,136788.0625
ADHD-midler,2008,Alle aldre,Mann,Sør-Trøndelag,860,6.025109292680193,142736,5876801.5,343602.21875
ADHD-midler,2008,Alle aldre,Mann,Telemark,694,8.400004841501350,82619,5659492,327955.09375
ADHD-midler,2008,Alle aldre,Mann,Troms,437,5.588521151977083,78196,2806548.5,165105.546875
ADHD-midler,2008,Alle aldre,Mann,Vest-Agder,692,8.323710546574288,83136,4617323,302987.8125
ADHD-midler,2008,Alle aldre,Mann,Vestfold,952,8.457260629319688,112566,7758373,430921.21875
ADHD-midler,2008,Alle aldre,Mann,Østfold,1049,7.939631552655879,132122,7448256.5,494332.125
ADHD-midler,2008,0 - 4,Kvinne,Akershus,,,15177,,
ADHD-midler,2008,0 - 4,Kvinne,Aust-Agder,0,0,0,0,0
ADHD-midler,2008,0 - 4,Kvinne,Buskerud,0,0,0,0,0
ADHD-midler,2008,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2008,0 - 4,Kvinne,Hedmark,0,0,0,0,0
